¿°»ö»öÂ÷ DL,¿°»ö»öÂ÷ DA,¿°»ö»öÂ÷ DB,¿°»ö»öÂ÷ DC,¿°»ö»öÂ÷ DH,¿°»ö»öÂ÷ DE
-2.477522,1.645327,-0.3506155,1.339436,-1.017813,2.994686
5.396858,-0.7238979,-1.397932,-1.250377,-0.9564506,5.621772
-0.5299683,-0.1653135,1.163363,-0.9872274,-0.6372793,1.289034
1.540031,-1.033559,-0.4615517,0.6962233,-0.8924955,1.911275
0.7802219,-0.1995859,0.04407501,-0.001267433,-0.2043907,0.8065503
0.3564777,-0.06861973,0.06464386,-0.04929066,-0.08036117,0.3687328
1.020679,-0.2849996,-0.7120371,-0.5863528,-0.4943805,1.276718
-1.170563,0.08672476,-0.03888702,0.01497078,0.09385794,1.174415
4.236397,-0.8856952,2.091419,-2.214005,-0.50663,4.806823
-0.7915802,-0.8116663,3.042566,-3.14144,-0.2176327,3.246939
4.223209,-0.08147955,2.03222,-1.999127,0.3742258,4.687436
-0.1182518,0.1205502,0.2684953,-0.02768135,-0.2930116,0.3171838
-0.2653313,-0.2342463,-0.3045976,0.07502174,-0.3768591,0.4669601
1.121874,-0.2459884,-0.1343489,-0.06647539,-0.2722882,1.156357
-20.13113,-0.9646099,0.7920846,-1.233884,-0.1881836,20.16979
-0.2301369,-0.2484024,-0.313741,0.08081031,-0.3919271,0.4616277
-2.148621,0.1752675,0.1625423,-0.2036467,0.125169,2.161876
1.608437,0.1351535,0.3483653,-0.3711882,-0.0429443,1.65127
0.6391792,0.2763569,0.03515482,-0.1539364,0.232191,0.6972511
1.288437,0.6105304,0.7381558,-0.8725638,0.3952895,1.605519
3.782318,0.5207062,1.395118,-1.485122,0.1090975,4.064901
2.247559,0.5929172,1.699388,-1.79754,0.09121072,2.879408
1.353256,0.592351,1.113009,-1.231644,0.2696727,1.849587
1.144573,0.5887151,0.510788,-0.6464167,0.4354712,1.384752
1.677647,0.1054401,0.1653194,-0.1082115,-0.1635181,1.689067
0.2522831,-0.09955466,0.01246929,-0.05576444,-0.0834083,0.2715021
1.063644,0.2406538,0.177753,-0.2966217,-0.03906408,1.104921
0.03225136,0.4644394,-0.8526001,0.930933,0.2756712,0.9714273
0.8389969,0.4495683,-0.5970211,0.678319,0.3137344,1.123593
-0.04861259,-0.9604393,2.606374,-2.738536,-0.4648104,2.778127
1.897585,-0.04458427,-0.9157391,0.8899193,-0.2204766,2.107462
0.2756271,-0.1096129,0.5526409,-0.5035324,-0.252749,0.6272139
0.7895317,-0.001609325,0.4436131,-0.427475,-0.1185759,0.9056243
-1.768232,0.6024094,1.119798,-1.270597,0.04925595,2.177955
0.8067589,-0.5539951,0.5220585,-0.2096882,-0.7317695,1.109196
1.121719,-1.175821,0.5931497,1.01919,-0.8340469,1.729924
1.074997,-2.290756,1.026571,2.032515,-1.473192,2.730756
-2.321068,-0.729352,1.783577,1.926876,0.0158218,3.016696
1.216705,-0.6803865,2.241577,2.334587,-0.1931234,2.63969
-1.115284,0.2990663,-0.7719636,-0.321174,0.7630306,1.388966
0.2863483,-0.4909635,0.3247614,-0.02134418,-0.5882682,0.6546071
0.4966183,-0.7001462,0.3116665,0.105423,-0.759096,0.9132198
0.01888847,-0.2705755,-0.05875206,0.187129,-0.2040726,0.2775242
-0.4147911,-0.3211799,0.151515,0.0337677,-0.3535152,0.5460448
0.312376,-0.4777312,0.3238077,-0.02777386,-0.5764609,0.6562449
-0.1677208,0.03987551,-0.2909243,0.2591867,-0.138019,0.3381675
-0.5463009,0.09508431,-0.2720475,0.2748272,-0.08672292,0.6176533
-1.195587,-0.2602935,-0.1030922,0.1902857,0.2053583,1.227929
-2.21841,0.1820922,-0.5289435,-0.369861,0.419693,2.287856
3.945421,-0.01436472,-0.07505417,0.06571472,-0.03900963,3.946161
2.666603,-0.03987551,-0.1731396,0.1508133,-0.09393136,2.672516
2.443825,-0.348896,0.06217957,0.3476219,-0.06894279,2.469387
1.474102,-0.3666592,-0.02945662,0.3672142,0.02145393,1.519304
-0.5255508,-0.2264977,0.4587059,0.04211235,0.509842,0.7334276
1.507286,-1.409472,0.2939348,-1.04896,0.986251,2.084447
